asn,name,country,registry
AS1,"Level 3 Parent, LLC",US,arin
AS10,CSNET Coordination and Information Center (CSNET-CIC),US,arin
AS100,FMC Central Engineering Laboratories,US,arin
AS1000,GONET,CA,arin
AS10000,Nagasaki Cable Media Inc.,JP,jpnic
AS10001,Mics Network Corporation,JP,jpnic
AS10002,"IGAUENO CABLE TELEVISION CO.,LTD",JP,jpnic
AS10003,"Ogaki Cable Television Co.,Inc.",JP,jpnic
AS10004,JIN Office Service Inc.,JP,jpnic
AS10006,"SECOM Trust Systems Co.,Ltd.",JP,jpnic
AS10007,SoftBank Mobile Corp.,JP,jpnic
AS1001,GONET,CA,arin
AS10010,TOKAI Communications Corporation,JP,jpnic
AS10011,advanscope.inc,JP,jpnic
AS10012,Rakuten Communications Corp.,JP,jpnic
AS10013,"FreeBit Co.,Ltd.",JP,jpnic
AS10014,Nihon University,JP,jpnic
AS10015,"Cyber Wave Japan Co., Ltd.",JP,jpnic
AS10016,Minaminihon Information Processing Center Co Ltd,JP,jpnic
AS10019,Matsusaka Cable-TV Station Inc.,JP,jpnic
AS1002,GONET,CA,arin
AS10021,"KVH Co.,Ltd",JP,jpnic
AS10022,Internet access for Datacom Systems Auckland,NZ,apnic
AS10023,Vixtel Pty Ltd,AU,apnic
AS10024,LGA International,SG,apnic
AS10025,The IUSN Foundation,NU,apnic
AS10026,PACNET,JP,apnic
AS10027,Verizon Australia PTY Limited,AU,apnic
AS10028,Information System Department,TH,apnic
AS10029,SHYAM SPECTRA PVT LTD,IN,apnic
AS1003,GONET,CA,arin
AS10030,Celcom Internet Service Provider,MY,apnic
AS10031,"WEBSATMEDIA PTE LTD, Satellite Over IP, Singapore",SG,apnic
AS10032,HGC Global Communications Limited,HK,apnic
AS10033,iBasis Tokyo ICO,JP,apnic
AS10034,SEOUL AGRICULTURAL & MARINE PRODUCTS CORP.,KR,apnic
AS10035,"Hyundai Department Store Co., Ltd.",KR,apnic
AS10036,DLIVE,KR,apnic
AS10037,"CJ Hello Co., Ltd.",KR,apnic
AS10038,NHN Entertainment Museum,KR,apnic
AS10039,Korea Health Industry Development Institute,KR,apnic
AS1004,GONET,CA,arin
AS10040,"NICE Information & Telecommunication, Inc",KR,apnic
AS10041,ShinhanCapital,KR,apnic
AS10042,SUSEONG COLLEGE,KR,apnic
AS10043,Ministry of Science and ICT,KR,apnic
AS10044,Rural Development Administration (RDA),KR,apnic
AS10045,Hanbat National University,KR,apnic
AS10046,HOWON UNIVERSITY,KR,apnic
AS10047,Namseoul university,KR,apnic
AS10048,ILINKKOREA,KR,apnic
AS10049,"SK Co.,",KR,apnic
AS1005,GONET,CA,arin
AS10050,The National Library of Korea,KR,apnic
AS10051,Korea Post Information Center,KR,apnic
AS10052,Kyungpook National University,KR,apnic
AS10053,yeonsung University,KR,apnic
AS10054,CMB Kwangju Broadcasting,KR,apnic
AS10055,Korean National Railroad Administration,KR,apnic
AS10056,Hyundai Marin & Fire Insurance,KR,apnic
