geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone
32909,en,AS,Asia,IR,Iran,07,"Ostan-e Tehran",,,"Shahre Jadide Andisheh",,Asia/Tehran
49518,en,,Africa/Kigali
51537,en,AF,Africa,SO,Somalia,,,,,,,Africa/Mogadishu
53654,en,AF,Africa,SO,Somalia,BN,Banaadir,,,Mogadishu,,Africa/Mogadishu
57289,en,AF,Africa,SO,Somalia,WO,"Woqooyi Galbeed",,,Hargeisa,,Africa/Mogadishu
69543,en,AS,Asia,YE,Yemen,,,,,,,Asia/Aden
70223,en,AS,Asia,YE,Yemen,DH,"Dhamār",,,Ta`izz,,Asia/Aden
71136,en,AS,Asia,YE,Yemen,HD,"Muhafazat Hadramawt",,,Sana',,Asia/Aden
71137,en,AS,Asia,YE,Yemen,SN,Sanaa,,,Sanaa,,Asia/Aden
74477,en,AS,Asia,YE,Yemen,IB,Ibb,,,Ibb,,Asia/Aden
77843,en,AS,Asia,YE,Yemen,HU,"Al Hudaydah",,,"As Salif",,Asia/Aden
88319,en,AF,Africa,LY,Libya,BA,"Sha'biyat Banghazi",,,Benghazi,,Africa/Tripoli
90150,en,AS,Asia,IQ,Iraq,SD,"Salah ad Din",,,Tikrit,,Asia/Baghdad
90552,en,AS,Asia,IQ,Iraq,AN,Anbar,,,Sulaymaniyah,,Asia/Baghdad
94787,en,AS,Asia,IQ,Iraq,KI,Kirkuk,,,Kirkuk,,Asia/Baghdad
94824,en,AS,Asia,IQ,Iraq,KA,"Muhafazat Karbala'",,,Karbala,,Asia/Baghdad
95445,en,AS,Asia,IQ,Iraq,AR,"Muhafazat Arbil",,,,,Asia/Baghdad
95446,en,AS,Asia,IQ,Iraq,AR,"Muhafazat Arbil",,,Erbil,,Asia/Baghdad
96966,en,AS,Asia,IQ,Iraq,WA,"Muhafazat Wasit",,,Diwaniyah,,Asia/Baghdad
97848,en,AS,Asia,IQ,Iraq,SU,"Muhafazat as Sulaymaniyah",,,Basere,,Asia/Baghdad
98182,en,AS,Asia,IQ,Iraq,BG,Baghdad,,,Baghdad,,Asia/Baghdad
98860,en,AS,Asia,IQ,Iraq,NA,"An Najaf",,,Najaf,,Asia/Baghdad
99072,en,AS,Asia,IQ,Iraq,NI,"Muhafazat Ninawa",,,Mosul,,Asia/Baghdad
99237,en,AS,Asia,IQ,Iraq,,,,,,,Asia/Baghdad
99347,en,AS,Asia,IQ,Iraq,BB,"Muhafazat Babil",,,"Al Hillah",,Asia/Baghdad
99532,en,AS,Asia,IQ,Iraq,BA,Basra,,,Basrah,,Asia/Baghdad
99608,en,AS,Asia,IQ,Iraq,MA,Maysan,,,"Al 'Amarah",,Asia/Baghdad
100425,en,AS,Asia,SA,"Saudi Arabia",03,"Al Madinah al Munawwarah",,,Yanbu,,Asia/Riyadh
101628,en,AS,Asia,SA,"Saudi Arabia",07,Tabuk,,,Tabuk,,Asia/Riyadh
102318,en,AS,Asia,SA,"Saudi Arabia",04,"Eastern Province",,,Sayhat,,Asia/Riyadh
102358,en,AS,Asia,SA,"Saudi Arabia",,,,,,,Asia/Riyadh
102527,en,AS,Asia,SA,"Saudi Arabia",12,"Al Jawf",,,Sakakah,,Asia/Riyadh
102585,en,AS,Asia,SA,"Saudi Arabia",04,"Eastern Province",,,Safwa,,Asia/Riyadh
102891,en,AS,Asia,SA,"Saudi Arabia",04,"Eastern Province",,,"Ras Tanura",,Asia/Riyadh
102912,en,AS,Asia,SA,"Saudi Arabia",04,"Eastern Province",,,"Ra's al Khafji",,Asia/Riyadh
103035,en,AS,Asia,SA,"Saudi Arabia",02,"Makkah Province",,,Rabigh,,Asia/Riyadh
103369,en,AS,Asia,SA,"Saudi Arabia",14,'Asir,,,Bisha,,Asia/Riyadh
103630,en,AS,Asia,SA,"Saudi Arabia",10,Najran,,,Najran,,Asia/Riyadh
104514,en,AS,Asia,SA,"Saudi Arabia",02,"Makkah Province",,,,,Asia/Riyadh
